ticker,security_name,sp500,djia30
DHI,D. R. Horton,TRUE,FALSE
DHR,Danaher Corp.,TRUE,FALSE
DRI,Darden Restaurants,TRUE,FALSE
DVA,DaVita Inc.,TRUE,FALSE
DE,Deere & Co.,TRUE,FALSE
DAL,Delta Air Lines Inc.,TRUE,FALSE
XRAY,Dentsply Sirona,TRUE,FALSE
DVN,Devon Energy,TRUE,FALSE
DXCM,DexCom,TRUE,FALSE
FANG,Diamondback Energy,TRUE,FALSE
DLR,Digital Realty Trust Inc,TRUE,FALSE
DFS,Discover Financial Services,TRUE,FALSE
DISCA,"Discovery, Inc. (Class A)",TRUE,FALSE
DISCK,"Discovery, Inc. (Class C)",TRUE,FALSE
DISH,Dish Network,TRUE,FALSE
DG,Dollar General,TRUE,FALSE
DLTR,Dollar Tree,TRUE,FALSE
D,Dominion Energy,TRUE,FALSE
DPZ,Domino's Pizza,TRUE,FALSE
DOV,Dover Corporation,TRUE,FALSE
DOW,Dow Inc.,TRUE,TRUE
DTE,DTE Energy Co.,TRUE,FALSE
DUK,Duke Energy,TRUE,FALSE
DRE,Duke Realty Corp,TRUE,FALSE
DD,DuPont de Nemours Inc,TRUE,FALSE
DXC,DXC Technology,TRUE,FALSE
ETFC,E*Trade,TRUE,FALSE
EMN,Eastman Chemical,TRUE,FALSE
ETN,Eaton Corporation,TRUE,FALSE
EBAY,eBay Inc.,TRUE,FALSE
ECL,Ecolab Inc.,TRUE,FALSE
EIX,Edison Int'l,TRUE,FALSE
EW,Edwards Lifesciences,TRUE,FALSE
EA,Electronic Arts,TRUE,FALSE
EMR,Emerson Electric Company,TRUE,FALSE
ETR,Entergy Corp.,TRUE,FALSE
EOG,EOG Resources,TRUE,FALSE
EFX,Equifax Inc.,TRUE,FALSE
EQIX,Equinix,TRUE,FALSE
EQR,Equity Residential,TRUE,FALSE
ESS,"Essex Property Trust, Inc.",TRUE,FALSE
EL,Estée Lauder Companies,TRUE,FALSE
EVRG,Evergy,TRUE,FALSE
ES,Eversource Energy,TRUE,FALSE
RE,Everest Re Group Ltd.,TRUE,FALSE
EXC,Exelon Corp.,TRUE,FALSE
EXPE,Expedia Group,TRUE,FALSE
EXPD,Expeditors,TRUE,FALSE
EXR,Extra Space Storage,TRUE,FALSE
XOM,Exxon Mobil Corp.,TRUE,TRUE
FFIV,F5 Networks,TRUE,FALSE
FB,"Facebook, Inc.",TRUE,FALSE
FAST,Fastenal Co,TRUE,FALSE
FRT,Federal Realty Investment Trust,TRUE,FALSE
FDX,FedEx Corporation,TRUE,FALSE
FIS,Fidelity National Information Services,TRUE,FALSE
FITB,Fifth Third Bancorp,TRUE,FALSE
FE,FirstEnergy Corp,TRUE,FALSE
FRC,First Republic Bank,TRUE,FALSE
FISV,Fiserv Inc,TRUE,FALSE
FLT,FleetCor Technologies Inc,TRUE,FALSE
FLIR,FLIR Systems,TRUE,FALSE
FLS,Flowserve Corporation,TRUE,FALSE
FMC,FMC Corporation,TRUE,FALSE
F,Ford Motor Company,TRUE,FALSE
FTNT,Fortinet,TRUE,FALSE
FTV,Fortive Corp,TRUE,FALSE
FBHS,Fortune Brands Home & Security,TRUE,FALSE
FOXA,Fox Corporation (Class A),TRUE,FALSE
FOX,Fox Corporation (Class B),TRUE,FALSE
BEN,Franklin Resources,TRUE,FALSE
FCX,Freeport-McMoRan Inc.,TRUE,FALSE
GPS,Gap Inc.,TRUE,FALSE
GRMN,Garmin Ltd.,TRUE,FALSE
IT,Gartner Inc,TRUE,FALSE
GD,General Dynamics,TRUE,FALSE
GE,General Electric,TRUE,FALSE
GIS,General Mills,TRUE,FALSE
GM,General Motors,TRUE,FALSE
GPC,Genuine Parts,TRUE,FALSE
GILD,Gilead Sciences,TRUE,FALSE
GL,Globe Life Inc.,TRUE,FALSE
GPN,Global Payments Inc.,TRUE,FALSE
GS,Goldman Sachs Group,TRUE,TRUE
GWW,Grainger (W.W.) Inc.,TRUE,FALSE
HRB,H&R Block,TRUE,FALSE
HAL,Halliburton Co.,TRUE,FALSE
HBI,Hanesbrands Inc,TRUE,FALSE
HIG,Hartford Financial Svc.Gp.,TRUE,FALSE
HAS,Hasbro Inc.,TRUE,FALSE
HCA,HCA Healthcare,TRUE,FALSE
PEAK,Healthpeak Properties,TRUE,FALSE
HSIC,Henry Schein,TRUE,FALSE
HSY,The Hershey Company,TRUE,FALSE
HES,Hess Corporation,TRUE,FALSE
HPE,Hewlett Packard Enterprise,TRUE,FALSE
HLT,Hilton Worldwide Holdings Inc,TRUE,FALSE
HFC,HollyFrontier Corp,TRUE,FALSE
HOLX,Hologic,TRUE,FALSE
HD,Home Depot,TRUE,TRUE
HON,Honeywell Int'l Inc.,TRUE,FALSE
HRL,Hormel Foods Corp.,TRUE,FALSE
HST,Host Hotels & Resorts,TRUE,FALSE
HWM,Howmet Aerospace,TRUE,FALSE
HPQ,HP Inc.,TRUE,FALSE
HUM,Humana Inc.,TRUE,FALSE
HBAN,Huntington Bancshares,TRUE,FALSE
HII,Huntington Ingalls Industries,TRUE,FALSE
IEX,IDEX Corporation,TRUE,FALSE
IDXX,IDEXX Laboratories,TRUE,FALSE
INFO,IHS Markit Ltd.,TRUE,FALSE
ITW,Illinois Tool Works,TRUE,FALSE
ILMN,Illumina Inc,TRUE,FALSE
INCY,Incyte,TRUE,FALSE
IR,Ingersoll Rand,TRUE,FALSE
INTC,Intel Corp.,TRUE,TRUE
ICE,Intercontinental Exchange,TRUE,FALSE
IBM,International Business Machines,TRUE,TRUE
IP,International Paper,TRUE,FALSE
IPG,Interpublic Group,TRUE,FALSE
IFF,International Flavors & Fragrances,TRUE,FALSE
INTU,Intuit Inc.,TRUE,FALSE
ISRG,Intuitive Surgical Inc.,TRUE,FALSE
IVZ,Invesco Ltd.,TRUE,FALSE
IPGP,IPG Photonics Corp.,TRUE,FALSE
IQV,IQVIA Holdings Inc.,TRUE,FALSE
IRM,Iron Mountain Incorporated,TRUE,FALSE
JKHY,Jack Henry & Associates,TRUE,FALSE
J,Jacobs Engineering Group,TRUE,FALSE
JBHT,J. B. Hunt Transport Services,TRUE,FALSE
SJM,JM Smucker,TRUE,FALSE
JNJ,Johnson & Johnson,TRUE,TRUE
JCI,Johnson Controls International,TRUE,FALSE
JPM,JPMorgan Chase & Co.,TRUE,TRUE
JNPR,Juniper Networks,TRUE,FALSE
