date,company_name,name,action
3/31/1975,Williams Cos.,WMB,added_ticker
6/30/1975,JPMorgan Chase & Co.,JPM,added_ticker
3/31/1976,Intl Flavors & Fragrances,IFF,added_ticker
6/30/1976,The Walt Disney Company,DIS,added_ticker
6/30/1976,Molson Coors Brewing Company,TAP,added_ticker
6/30/1976,Duke Energy,DUK,added_ticker
6/30/1976,CIGNA Corp.,CI,added_ticker
6/30/1976,NextEra Energy,NEE,added_ticker
6/30/1976,American Express Co,AXP,added_ticker
6/30/1976,Wells Fargo,WFC,added_ticker
6/30/1976,Lincoln National,LNC,added_ticker
6/30/1976,Bank of America Corp,BAC,added_ticker
12/31/1976,Intel Corp.,INTC,added_ticker
12/31/1976,Target Corp.,TGT,added_ticker
12/31/1978,Textron Inc.,TXT,added_ticker
6/30/1979,V.F. Corp.,VFC,added_ticker
12/31/1979,Walgreens Boots Alliance,WBA,added_ticker
3/31/1980,American International Group,AIG,added_ticker
12/31/1980,PACCAR Inc.,PCAR,added_ticker
12/31/1980,FedEx Corporation,FDX,added_ticker
3/31/1981,Automatic Data Processing,ADP,added_ticker
6/30/1981,Grainger (W.W.) Inc.,GWW,added_ticker
6/30/1981,Masco Corp.,MAS,added_ticker
7/29/1981,Archer-Daniels-Midland Co,ADM,added_ticker
8/31/1982,Walmart,WMT,added_ticker
9/30/1982,Stanley Black & Decker,SWK,added_ticker
9/30/1982,Snap-on,SNA,added_ticker
10/31/1982,Brown-Forman Corp.,BF.B,added_ticker
11/30/1982,Apple Inc.,AAPL,added_ticker
12/31/1982,Occidental Petroleum,OXY,added_ticker
8/31/1983,Conagra Brands,CAG,added_ticker
9/30/1983,L Brands Inc.,LB,added_ticker
11/30/1983,AT&T Inc.,T,added_ticker
11/30/1983,Verizon Communications,VZ,added_ticker
2/29/1984,Lowe's Cos.,LOW,added_ticker
4/30/1984,Pulte Homes Inc.,PHM,added_ticker
5/31/1984,Hess Corporation,HES,added_ticker
7/31/1984,Lockheed Martin Corp.,LMT,added_ticker
9/30/1984,Hasbro Inc.,HAS,added_ticker
10/31/1984,Ball Corp,BLL,added_ticker
1/1/1985,WellCare,WCG,added_ticker
4/30/1985,Nucor Corp.,NUE,added_ticker
4/30/1985,Air Products & Chemicals Inc,APD,added_ticker
5/31/1985,PerkinElmer,PKI,added_ticker
6/30/1985,Northrop Grumman,NOC,added_ticker
7/31/1985,CenterPoint Energy,CNP,added_ticker
9/30/1985,TJX Companies Inc.,TJX,added_ticker
10/31/1985,Dover Corp.,DOV,added_ticker
11/30/1985,Parker-Hannifin,PH,added_ticker
2/28/1986,Illinois Tool Works,ITW,added_ticker
8/31/1986,Gap Inc.,GPS,added_ticker
8/31/1986,Nordstrom,JWN,added_ticker
10/31/1986,Medtronic plc,MDT,added_ticker
11/30/1986,Block H&R,HRB,added_ticker
12/31/1986,Sysco Corp.,SYY,added_ticker
8/31/1987,Marsh & McLennan,MMC,added_ticker
12/31/1987,Avery Dennison Corp,AVY,added_ticker
3/31/1988,Home Depot,HD,added_ticker
4/30/1988,PNC Financial Services,PNC,added_ticker
5/31/1988,SunTrust Banks,STI,added_ticker
5/31/1988,Citigroup Inc.,C,added_ticker
11/30/1988,Nike,NKE,added_ticker
1/31/1989,Ecolab Inc.,ECL,added_ticker
4/30/1989,Newell Brands,NWL,added_ticker
4/30/1989,Globe Life Inc.,GL,added_ticker
8/31/1989,Oracle Corp.,ORCL,added_ticker
12/1/1989,Autodesk Inc.,ADSK,added_ticker
5/1/1991,Marathon Oil Corp.,MRO,added_ticker
9/19/1991,Ameren Corp,AEE,added_ticker
1/2/1992,Amgen Inc.,AMGN,added_ticker
7/1/1992,Linde plc,LIN,added_ticker
10/1/1992,Interpublic Group,IPG,added_ticker
10/1/1993,Costco Wholesale Corp.,COST,added_ticker
12/1/1993,Cisco Systems,CSCO,added_ticker
1/1/1994,Eastman Chemical,EMN,added_ticker
3/1/1994,KeyCorp,KEY,added_ticker
3/1/1994,Unum Group,UNM,added_ticker
6/1/1994,Microsoft Corp.,MSFT,added_ticker
7/1/1994,United Health Group Inc.,UNH,added_ticker
7/1/1994,Southwest Airlines,LUV,added_ticker
9/1/1994,CBS Corp.,CBS,added_ticker
9/27/1994,Micron Technology,MU,added_ticker
2/24/1995,Boston Scientific,BSX,added_ticker
3/16/1995,Applied Materials Inc.,AMAT,added_ticker
3/31/1995,The Bank of New York Mellon Corp.,BK,added_ticker
7/13/1995,Allstate Corp,ALL,added_ticker
12/1/1995,Comerica Inc.,CMA,added_ticker
4/23/1996,Aon plc,AON,added_ticker
1/2/1997,AutoZone Inc,AZO,added_ticker
5/5/1997,Adobe Systems Inc,ADBE,added_ticker
5/27/1997,Cardinal Health Inc.,CAH,added_ticker
6/2/1997,Charles Schwab Corporation,SCHW,added_ticker
6/19/1997,Equifax Inc.,EFX,added_ticker
7/28/1997,Apache Corporation,APA,added_ticker
8/4/1997,Progressive Corp.,PGR,added_ticker
